,TenantId,TimeGenerated,FlowStartTime,FlowEndTime,FlowIntervalEndTime,FlowType,ResourceGroup,VMName,VMIPAddress,PublicIPs,SrcIP,DestIP,L4Protocol,L7Protocol,DestPort,FlowDirection,AllowedOutFlows,AllowedInFlows,DeniedInFlows,DeniedOutFlows,RemoteRegion,VMRegion,AllExtIPs,TotalAllowedFlows
882,52b1ab41-869e-4138-9e40-2a4457f09bf0,2019-02-12 16:23:28.663,2019-02-12 15:04:13.000,2019-02-12 15:43:21.000,2019-02-12 16:00:00.000,AzurePublic,asihuntomsworkspacerg,msticalertswin1,10.0.3.5,['104.43.212.12'],,,T,https,443.0,O,4.0,0.0,0.0,0.0,centralus,eastus,104.43.212.12,4.0
893,52b1ab41-869e-4138-9e40-2a4457f09bf0,2019-02-12 16:23:28.663,2019-02-12 15:25:57.000,2019-02-12 15:40:57.000,2019-02-12 16:00:00.000,AzurePublic,asihuntomsworkspacerg,msticalertswin1,10.0.3.5,['40.124.45.19'],,,T,https,443.0,O,2.0,0.0,0.0,0.0,southcentralus,eastus,40.124.45.19,2.0
894,52b1ab41-869e-4138-9e40-2a4457f09bf0,2019-02-12 16:23:28.678,2019-02-12 15:35:36.000,2019-02-12 15:52:13.000,2019-02-12 16:00:00.000,AzurePublic,asihuntomsworkspacerg,msticalertswin1,10.0.3.5,"['20.38.98.100', '23.96.64.84']",,,T,https,443.0,O,6.0,0.0,0.0,0.0,eastus,eastus,20.38.98.100,6.0
895,52b1ab41-869e-4138-9e40-2a4457f09bf0,2019-02-12 16:23:28.678,2019-02-12 15:35:36.000,2019-02-12 15:52:13.000,2019-02-12 16:00:00.000,AzurePublic,asihuntomsworkspacerg,msticalertswin1,10.0.3.5,"['20.38.98.100', '23.96.64.84']",,,T,https,443.0,O,6.0,0.0,0.0,0.0,eastus,eastus,23.96.64.84,6.0
904,52b1ab41-869e-4138-9e40-2a4457f09bf0,2019-02-12 17:23:29.357,2019-02-12 16:00:10.000,2019-02-12 16:55:58.000,2019-02-12 17:00:00.000,AzurePublic,asihuntomsworkspacerg,msticalertswin1,10.0.3.5,"['65.55.44.109', '65.55.44.108']",,,T,https,443.0,O,5.0,0.0,0.0,0.0,eastus2,eastus,65.55.44.108,5.0
903,52b1ab41-869e-4138-9e40-2a4457f09bf0,2019-02-12 17:23:29.357,2019-02-12 16:00:10.000,2019-02-12 16:55:58.000,2019-02-12 17:00:00.000,AzurePublic,asihuntomsworkspacerg,msticalertswin1,10.0.3.5,"['65.55.44.109', '65.55.44.108']",,,T,https,443.0,O,5.0,0.0,0.0,0.0,eastus2,eastus,65.55.44.109,5.0
897,52b1ab41-869e-4138-9e40-2a4457f09bf0,2019-02-12 17:23:29.342,2019-02-12 16:04:27.000,2019-02-12 16:55:20.000,2019-02-12 17:00:00.000,AzurePublic,asihuntomsworkspacerg,msticalertswin1,10.0.3.5,"['13.71.172.130', '13.71.172.128']",,,T,https,443.0,O,16.0,0.0,0.0,0.0,canadacentral,eastus,13.71.172.128,16.0
896,52b1ab41-869e-4138-9e40-2a4457f09bf0,2019-02-12 17:23:29.342,2019-02-12 16:04:27.000,2019-02-12 16:55:20.000,2019-02-12 17:00:00.000,AzurePublic,asihuntomsworkspacerg,msticalertswin1,10.0.3.5,"['13.71.172.130', '13.71.172.128']",,,T,https,443.0,O,16.0,0.0,0.0,0.0,canadacentral,eastus,13.71.172.130,16.0
898,52b1ab41-869e-4138-9e40-2a4457f09bf0,2019-02-12 17:23:29.342,2019-02-12 16:10:58.000,2019-02-12 16:10:58.000,2019-02-12 17:00:00.000,AzurePublic,asihuntomsworkspacerg,msticalertswin1,10.0.3.5,['40.124.45.19'],,,T,https,443.0,O,1.0,0.0,0.0,0.0,southcentralus,eastus,40.124.45.19,1.0
900,52b1ab41-869e-4138-9e40-2a4457f09bf0,2019-02-12 17:23:29.342,2019-02-12 16:18:15.000,2019-02-12 16:18:15.000,2019-02-12 17:00:00.000,AzurePublic,asihuntomsworkspacerg,msticalertswin1,10.0.3.5,['40.77.232.95'],,,T,https,443.0,O,1.0,0.0,0.0,0.0,westcentralus,eastus,40.77.232.95,1.0
901,52b1ab41-869e-4138-9e40-2a4457f09bf0,2019-02-12 17:23:29.342,2019-02-12 16:56:19.000,2019-02-12 16:56:51.000,2019-02-12 17:00:00.000,ExternalPublic,asihuntomsworkspacerg,msticalertswin1,10.0.3.5,['131.107.147.209'],,,T,ms-wbt-server,3389.0,I,0.0,2.0,0.0,0.0,,eastus,131.107.147.209,2.0
905,52b1ab41-869e-4138-9e40-2a4457f09bf0,2019-02-12 18:23:51.837,2019-02-12 17:00:06.000,2019-02-12 17:58:50.000,2019-02-12 18:00:00.000,AzurePublic,asihuntomsworkspacerg,msticalertswin1,10.0.3.5,"['13.71.172.130', '13.71.172.128']",,,T,https,443.0,O,18.0,0.0,0.0,0.0,canadacentral,eastus,13.71.172.130,18.0
906,52b1ab41-869e-4138-9e40-2a4457f09bf0,2019-02-12 18:23:51.837,2019-02-12 17:00:06.000,2019-02-12 17:58:50.000,2019-02-12 18:00:00.000,AzurePublic,asihuntomsworkspacerg,msticalertswin1,10.0.3.5,"['13.71.172.130', '13.71.172.128']",,,T,https,443.0,O,18.0,0.0,0.0,0.0,canadacentral,eastus,13.71.172.128,18.0
915,52b1ab41-869e-4138-9e40-2a4457f09bf0,2019-02-12 18:23:51.853,2019-02-12 17:00:10.000,2019-02-12 17:46:40.000,2019-02-12 18:00:00.000,AzurePublic,asihuntomsworkspacerg,msticalertswin1,10.0.3.5,"['65.55.44.109', '40.77.228.69']",,,T,https,443.0,O,5.0,0.0,0.0,0.0,eastus2,eastus,40.77.228.69,5.0
914,52b1ab41-869e-4138-9e40-2a4457f09bf0,2019-02-12 18:23:51.853,2019-02-12 17:00:10.000,2019-02-12 17:46:40.000,2019-02-12 18:00:00.000,AzurePublic,asihuntomsworkspacerg,msticalertswin1,10.0.3.5,"['65.55.44.109', '40.77.228.69']",,,T,https,443.0,O,5.0,0.0,0.0,0.0,eastus2,eastus,65.55.44.109,5.0
912,52b1ab41-869e-4138-9e40-2a4457f09bf0,2019-02-12 18:23:51.837,2019-02-12 17:09:35.000,2019-02-12 17:47:20.000,2019-02-12 18:00:00.000,ExternalPublic,asihuntomsworkspacerg,msticalertswin1,10.0.3.5,['131.107.147.209'],,,T,ms-wbt-server,3389.0,I,0.0,11.0,0.0,0.0,,eastus,131.107.147.209,11.0
907,52b1ab41-869e-4138-9e40-2a4457f09bf0,2019-02-12 18:23:51.837,2019-02-12 17:10:58.000,2019-02-12 17:42:01.000,2019-02-12 18:00:00.000,AzurePublic,asihuntomsworkspacerg,msticalertswin1,10.0.3.5,['40.124.45.19'],,,T,https,443.0,O,2.0,0.0,0.0,0.0,southcentralus,eastus,40.124.45.19,2.0
917,52b1ab41-869e-4138-9e40-2a4457f09bf0,2019-02-12 18:23:51.853,2019-02-12 17:26:19.000,2019-02-12 17:44:09.000,2019-02-12 18:00:00.000,IntraVNet,,,,,10.0.3.4,10.0.3.5,T,microsoft-ds,445.0,I,0.0,6.0,0.0,0.0,,eastus,10.0.3.4,6.0
916,52b1ab41-869e-4138-9e40-2a4457f09bf0,2019-02-12 18:23:51.853,2019-02-12 17:26:19.000,2019-02-12 17:44:09.000,2019-02-12 18:00:00.000,IntraVNet,,,,,10.0.3.4,10.0.3.5,T,microsoft-ds,445.0,O,6.0,0.0,0.0,0.0,,eastus,10.0.3.5,6.0
911,52b1ab41-869e-4138-9e40-2a4457f09bf0,2019-02-12 18:23:51.837,2019-02-12 17:29:15.000,2019-02-12 17:58:25.000,2019-02-12 18:00:00.000,AzurePublic,asihuntomsworkspacerg,msticalertswin1,10.0.3.5,"['13.82.152.48', '20.38.98.100', '23.96.64.84']",,,T,https,443.0,O,8.0,0.0,0.0,0.0,eastus,eastus,23.96.64.84,8.0
910,52b1ab41-869e-4138-9e40-2a4457f09bf0,2019-02-12 18:23:51.837,2019-02-12 17:29:15.000,2019-02-12 17:58:25.000,2019-02-12 18:00:00.000,AzurePublic,asihuntomsworkspacerg,msticalertswin1,10.0.3.5,"['13.82.152.48', '20.38.98.100', '23.96.64.84']",,,T,https,443.0,O,8.0,0.0,0.0,0.0,eastus,eastus,20.38.98.100,8.0
909,52b1ab41-869e-4138-9e40-2a4457f09bf0,2019-02-12 18:23:51.837,2019-02-12 17:29:15.000,2019-02-12 17:58:25.000,2019-02-12 18:00:00.000,AzurePublic,asihuntomsworkspacerg,msticalertswin1,10.0.3.5,"['13.82.152.48', '20.38.98.100', '23.96.64.84']",,,T,https,443.0,O,8.0,0.0,0.0,0.0,eastus,eastus,13.82.152.48,8.0
871,52b1ab41-869e-4138-9e40-2a4457f09bf0,2019-02-12 19:23:52.321,2019-02-12 18:01:18.000,2019-02-12 18:46:19.000,2019-02-12 19:00:00.000,AzurePublic,asihuntomsworkspacerg,msticalertswin1,10.0.3.5,['65.55.44.109'],,,T,https,443.0,O,4.0,0.0,0.0,0.0,eastus2,eastus,65.55.44.109,4.0
857,52b1ab41-869e-4138-9e40-2a4457f09bf0,2019-02-12 19:23:52.306,2019-02-12 18:04:04.000,2019-02-12 18:58:59.000,2019-02-12 19:00:00.000,AzurePublic,asihuntomsworkspacerg,msticalertswin1,10.0.3.5,"['13.71.172.130', '13.71.172.128']",,,T,https,443.0,O,16.0,0.0,0.0,0.0,canadacentral,eastus,13.71.172.130,16.0
858,52b1ab41-869e-4138-9e40-2a4457f09bf0,2019-02-12 19:23:52.306,2019-02-12 18:04:04.000,2019-02-12 18:58:59.000,2019-02-12 19:00:00.000,AzurePublic,asihuntomsworkspacerg,msticalertswin1,10.0.3.5,"['13.71.172.130', '13.71.172.128']",,,T,https,443.0,O,16.0,0.0,0.0,0.0,canadacentral,eastus,13.71.172.128,16.0
859,52b1ab41-869e-4138-9e40-2a4457f09bf0,2019-02-12 19:23:52.306,2019-02-12 18:27:16.000,2019-02-12 18:57:16.000,2019-02-12 19:00:00.000,AzurePublic,asihuntomsworkspacerg,msticalertswin1,10.0.3.5,['40.124.45.19'],,,T,https,443.0,O,2.0,0.0,0.0,0.0,southcentralus,eastus,40.124.45.19,2.0
861,52b1ab41-869e-4138-9e40-2a4457f09bf0,2019-02-12 20:23:27.657,2019-02-12 19:00:10.000,2019-02-12 19:58:35.000,2019-02-12 20:00:00.000,AzurePublic,asihuntomsworkspacerg,msticalertswin1,10.0.3.5,"['13.71.172.130', '13.71.172.128']",,,T,https,443.0,O,16.0,0.0,0.0,0.0,canadacentral,eastus,13.71.172.130,16.0
862,52b1ab41-869e-4138-9e40-2a4457f09bf0,2019-02-12 20:23:27.657,2019-02-12 19:00:10.000,2019-02-12 19:58:35.000,2019-02-12 20:00:00.000,AzurePublic,asihuntomsworkspacerg,msticalertswin1,10.0.3.5,"['13.71.172.130', '13.71.172.128']",,,T,https,443.0,O,16.0,0.0,0.0,0.0,canadacentral,eastus,13.71.172.128,16.0
865,52b1ab41-869e-4138-9e40-2a4457f09bf0,2019-02-12 20:23:27.657,2019-02-12 19:00:55.000,2019-02-12 19:00:55.000,2019-02-12 20:00:00.000,AzurePublic,asihuntomsworkspacerg,msticalertswin1,10.0.3.5,['40.77.232.95'],,,T,https,443.0,O,1.0,0.0,0.0,0.0,westcentralus,eastus,40.77.232.95,1.0
869,52b1ab41-869e-4138-9e40-2a4457f09bf0,2019-02-12 20:23:27.657,2019-02-12 19:00:58.000,2019-02-12 19:46:20.000,2019-02-12 20:00:00.000,AzurePublic,asihuntomsworkspacerg,msticalertswin1,10.0.3.5,['65.55.44.109'],,,T,https,443.0,O,3.0,0.0,0.0,0.0,eastus2,eastus,65.55.44.109,3.0
863,52b1ab41-869e-4138-9e40-2a4457f09bf0,2019-02-12 20:23:27.657,2019-02-12 19:01:01.000,2019-02-12 19:01:01.000,2019-02-12 20:00:00.000,ExternalPublic,asihuntomsworkspacerg,msticalertswin1,10.0.3.5,['8.249.241.254'],,,T,http,80.0,O,1.0,0.0,0.0,0.0,,eastus,8.249.241.254,1.0
864,52b1ab41-869e-4138-9e40-2a4457f09bf0,2019-02-12 20:23:27.657,2019-02-12 19:12:16.000,2019-02-12 19:57:17.000,2019-02-12 20:00:00.000,AzurePublic,asihuntomsworkspacerg,msticalertswin1,10.0.3.5,['40.124.45.19'],,,T,https,443.0,O,2.0,0.0,0.0,0.0,southcentralus,eastus,40.124.45.19,2.0
866,52b1ab41-869e-4138-9e40-2a4457f09bf0,2019-02-12 20:23:27.657,2019-02-12 19:31:20.000,2019-02-12 19:31:20.000,2019-02-12 20:00:00.000,AzurePublic,asihuntomsworkspacerg,msticalertswin1,10.0.3.5,['40.77.226.250'],,,T,https,443.0,O,1.0,0.0,0.0,0.0,northeurope,eastus,40.77.226.250,1.0
868,52b1ab41-869e-4138-9e40-2a4457f09bf0,2019-02-12 20:23:27.657,2019-02-12 19:56:09.000,2019-02-12 19:56:41.000,2019-02-12 20:00:00.000,ExternalPublic,asihuntomsworkspacerg,msticalertswin1,10.0.3.5,['131.107.147.209'],,,T,ms-wbt-server,3389.0,I,0.0,3.0,0.0,0.0,,eastus,131.107.147.209,3.0
867,52b1ab41-869e-4138-9e40-2a4457f09bf0,2019-02-12 20:23:27.657,2019-02-12 19:56:49.000,2019-02-12 19:56:49.000,2019-02-12 20:00:00.000,AzurePublic,asihuntomsworkspacerg,msticalertswin1,10.0.3.5,['20.38.98.100'],,,T,https,443.0,O,1.0,0.0,0.0,0.0,eastus,eastus,20.38.98.100,1.0
950,52b1ab41-869e-4138-9e40-2a4457f09bf0,2019-02-12 21:23:18.779,2019-02-12 20:08:41.000,2019-02-12 20:57:28.000,2019-02-12 21:00:00.000,AzurePublic,asihuntomsworkspacerg,msticalertswin1,10.0.3.5,"['13.71.172.128', '13.71.172.130']",,,T,https,443.0,O,17.0,0.0,0.0,0.0,canadacentral,eastus,13.71.172.128,17.0
842,52b1ab41-869e-4138-9e40-2a4457f09bf0,2019-02-12 21:23:12.498,2019-02-12 20:08:41.000,2019-02-12 20:59:11.000,2019-02-12 21:00:00.000,AzurePublic,asihuntomsworkspacerg,msticalertswin1,10.0.3.5,"['13.65.107.32', '40.124.45.19']",,,T,https,443.0,O,7.0,0.0,0.0,0.0,southcentralus,eastus,13.65.107.32,7.0
843,52b1ab41-869e-4138-9e40-2a4457f09bf0,2019-02-12 21:23:12.498,2019-02-12 20:08:41.000,2019-02-12 20:59:11.000,2019-02-12 21:00:00.000,AzurePublic,asihuntomsworkspacerg,msticalertswin1,10.0.3.5,"['13.65.107.32', '40.124.45.19']",,,T,https,443.0,O,7.0,0.0,0.0,0.0,southcentralus,eastus,40.124.45.19,7.0
949,52b1ab41-869e-4138-9e40-2a4457f09bf0,2019-02-12 21:23:18.748,2019-02-12 20:08:41.000,2019-02-12 20:19:49.000,2019-02-12 21:00:00.000,AzurePublic,asihuntomsworkspacerg,msticalertswin1,10.0.3.5,"['52.165.170.112', '52.173.28.179', '13.67.143.117']",,,T,https,443.0,O,3.0,0.0,0.0,0.0,centralus,eastus,13.67.143.117,3.0
947,52b1ab41-869e-4138-9e40-2a4457f09bf0,2019-02-12 21:23:18.748,2019-02-12 20:08:41.000,2019-02-12 20:19:49.000,2019-02-12 21:00:00.000,AzurePublic,asihuntomsworkspacerg,msticalertswin1,10.0.3.5,"['52.165.170.112', '52.173.28.179', '13.67.143.117']",,,T,https,443.0,O,3.0,0.0,0.0,0.0,centralus,eastus,52.165.170.112,3.0
948,52b1ab41-869e-4138-9e40-2a4457f09bf0,2019-02-12 21:23:18.748,2019-02-12 20:08:41.000,2019-02-12 20:19:49.000,2019-02-12 21:00:00.000,AzurePublic,asihuntomsworkspacerg,msticalertswin1,10.0.3.5,"['52.165.170.112', '52.173.28.179', '13.67.143.117']",,,T,https,443.0,O,3.0,0.0,0.0,0.0,centralus,eastus,52.173.28.179,3.0
951,52b1ab41-869e-4138-9e40-2a4457f09bf0,2019-02-12 21:23:18.779,2019-02-12 20:08:41.000,2019-02-12 20:57:28.000,2019-02-12 21:00:00.000,AzurePublic,asihuntomsworkspacerg,msticalertswin1,10.0.3.5,"['13.71.172.128', '13.71.172.130']",,,T,https,443.0,O,17.0,0.0,0.0,0.0,canadacentral,eastus,13.71.172.130,17.0
964,52b1ab41-869e-4138-9e40-2a4457f09bf0,2019-02-12 21:23:26.967,2019-02-12 20:08:42.000,2019-02-12 20:55:39.000,2019-02-12 21:00:00.000,AzurePublic,asihuntomsworkspacerg,msticalertswin1,10.0.3.5,['52.168.138.145'],,,U,ntp,123.0,O,4.0,0.0,0.0,0.0,eastus,eastus,52.168.138.145,4.0
961,52b1ab41-869e-4138-9e40-2a4457f09bf0,2019-02-12 21:23:14.342,2019-02-12 20:08:45.000,2019-02-12 20:08:45.000,2019-02-12 21:00:00.000,AzurePublic,asihuntomsworkspacerg,msticalertswin1,10.0.3.5,['40.77.232.95'],,,T,https,443.0,O,1.0,0.0,0.0,0.0,westcentralus,eastus,40.77.232.95,1.0
925,52b1ab41-869e-4138-9e40-2a4457f09bf0,2019-02-12 21:23:13.607,2019-02-12 20:08:46.000,2019-02-12 20:58:33.000,2019-02-12 21:00:00.000,AzurePublic,asihuntomsworkspacerg,msticalertswin1,10.0.3.5,"['65.55.44.109', '65.52.108.92', '40.77.228.69', '13.68.93.109']",,,T,https,443.0,O,15.0,0.0,0.0,0.0,eastus2,eastus,13.68.93.109,15.0
924,52b1ab41-869e-4138-9e40-2a4457f09bf0,2019-02-12 21:23:13.607,2019-02-12 20:08:46.000,2019-02-12 20:58:33.000,2019-02-12 21:00:00.000,AzurePublic,asihuntomsworkspacerg,msticalertswin1,10.0.3.5,"['65.55.44.109', '65.52.108.92', '40.77.228.69', '13.68.93.109']",,,T,https,443.0,O,15.0,0.0,0.0,0.0,eastus2,eastus,40.77.228.69,15.0
923,52b1ab41-869e-4138-9e40-2a4457f09bf0,2019-02-12 21:23:13.607,2019-02-12 20:08:46.000,2019-02-12 20:58:33.000,2019-02-12 21:00:00.000,AzurePublic,asihuntomsworkspacerg,msticalertswin1,10.0.3.5,"['65.55.44.109', '65.52.108.92', '40.77.228.69', '13.68.93.109']",,,T,https,443.0,O,15.0,0.0,0.0,0.0,eastus2,eastus,65.52.108.92,15.0
922,52b1ab41-869e-4138-9e40-2a4457f09bf0,2019-02-12 21:23:13.607,2019-02-12 20:08:46.000,2019-02-12 20:58:33.000,2019-02-12 21:00:00.000,AzurePublic,asihuntomsworkspacerg,msticalertswin1,10.0.3.5,"['65.55.44.109', '65.52.108.92', '40.77.228.69', '13.68.93.109']",,,T,https,443.0,O,15.0,0.0,0.0,0.0,eastus2,eastus,65.55.44.109,15.0
837,52b1ab41-869e-4138-9e40-2a4457f09bf0,2019-02-12 21:23:12.451,2019-02-12 20:08:47.000,2019-02-12 20:31:59.000,2019-02-12 21:00:00.000,ExternalPublic,asihuntomsworkspacerg,msticalertswin1,10.0.3.5,"['13.107.4.50', '72.21.91.29', '8.253.45.249', '205.185.216.42', '23.223.3.100', '72.21.81.240', '23.48.36.78']",,,T,http,80.0,O,41.0,0.0,0.0,0.0,,eastus,23.48.36.78,41.0
835,52b1ab41-869e-4138-9e40-2a4457f09bf0,2019-02-12 21:23:12.451,2019-02-12 20:08:47.000,2019-02-12 20:31:59.000,2019-02-12 21:00:00.000,ExternalPublic,asihuntomsworkspacerg,msticalertswin1,10.0.3.5,"['13.107.4.50', '72.21.91.29', '8.253.45.249', '205.185.216.42', '23.223.3.100', '72.21.81.240', '23.48.36.78']",,,T,http,80.0,O,41.0,0.0,0.0,0.0,,eastus,23.223.3.100,41.0
834,52b1ab41-869e-4138-9e40-2a4457f09bf0,2019-02-12 21:23:12.451,2019-02-12 20:08:47.000,2019-02-12 20:31:59.000,2019-02-12 21:00:00.000,ExternalPublic,asihuntomsworkspacerg,msticalertswin1,10.0.3.5,"['13.107.4.50', '72.21.91.29', '8.253.45.249', '205.185.216.42', '23.223.3.100', '72.21.81.240', '23.48.36.78']",,,T,http,80.0,O,41.0,0.0,0.0,0.0,,eastus,205.185.216.42,41.0
962,52b1ab41-869e-4138-9e40-2a4457f09bf0,2019-02-12 21:23:26.967,2019-02-12 20:08:47.000,2019-02-12 20:18:41.000,2019-02-12 21:00:00.000,AzurePublic,asihuntomsworkspacerg,msticalertswin1,10.0.3.5,"['13.83.149.5', '13.83.148.235']",,,T,https,443.0,O,4.0,0.0,0.0,0.0,westus,eastus,13.83.149.5,4.0
963,52b1ab41-869e-4138-9e40-2a4457f09bf0,2019-02-12 21:23:26.967,2019-02-12 20:08:47.000,2019-02-12 20:18:41.000,2019-02-12 21:00:00.000,AzurePublic,asihuntomsworkspacerg,msticalertswin1,10.0.3.5,"['13.83.149.5', '13.83.148.235']",,,T,https,443.0,O,4.0,0.0,0.0,0.0,westus,eastus,13.83.148.235,4.0
